#Chromosome	Start	End	Targetsite	Mismatches
chr3	31458651	31458674	VEGFA_site2	6
chr11	374660	374683	VEGFA_site2	5
chr11	13948353	13948376	VEGFA_site2	3
chr4	8841910	8841933	VEGFA_site2	5
chr9	139440840	139440863	VEGFA_site2	5
chr19	14142968	14142991	VEGFA_site2	4
chr7	95319670	95319693	VEGFA_site2	4
chr8	18041539	18041562	VEGFA_site2	4
chr17	16954845	16954868	VEGFA_site2	4
chr20	10913954	10913977	VEGFA_site2	5
chr1	875320	875343	VEGFA_site2	3
chr7	104933938	104933961	VEGFA_site2	5
chr9	126138174	126138197	VEGFA_site2	4
chr10	133956638	133956661	VEGFA_site2	4
chr12	26025088	26025111	VEGFA_site2	5
chr5	14457486	14457509	VEGFA_site2	5
chr11	12308917	12308940	VEGFA_site2	4
chr3	140398783	140398806	VEGFA_site2	4
chr2	129244195	129244218	VEGFA_site2	4
chr2	170573333	170573356	VEGFA_site2	5
chr2	11699947	11699970	VEGFA_site2	5
chr4	1496240	1496263	VEGFA_site2	5
chr2	24857576	24857599	VEGFA_site2	5
chr4	7329529	7329552	VEGFA_site2	4
chr10	72538200	72538223	VEGFA_site2	5
chr22	45134887	45134910	VEGFA_site2	4
chr19	45952037	45952060	VEGFA_site2	5
chr5	170878052	170878075	VEGFA_site2	5
chr5	139028239	139028262	VEGFA_site2	4
chr7	50765511	50765534	VEGFA_site2	5
chr11	83433593	83433616	VEGFA_site2	4
chrX	118865476	118865499	VEGFA_site2	3
chr5	156321124	156321147	VEGFA_site2	4
chr22	47511238	47511261	VEGFA_site2	4
chr2	105990820	105990843	VEGFA_site2	6
chr11	2686242	2686265	VEGFA_site2	5
chr16	85338199	85338222	VEGFA_site2	6
chrX	152837111	152837134	VEGFA_site2	3
chr22	40102383	40102406	VEGFA_site2	4
chr17	65632973	65632996	VEGFA_site2	4
chr4	143767366	143767389	VEGFA_site2	4
chr10	102821500	102821523	VEGFA_site2	6
chr19	42806794	42806817	VEGFA_site2	4
chr9	140263438	140263461	VEGFA_site2	4
chr17	55740522	55740545	VEGFA_site2	4
chr16	57974231	57974254	VEGFA_site2	5
chr5	132860358	132860381	VEGFA_site2	5
chr11	45796049	45796072	VEGFA_site2	5
chr17	62167047	62167070	VEGFA_site2	4
chr11	67351516	67351539	VEGFA_site2	5
chr1	237195674	237195697	VEGFA_site2	5
chr9	131706575	131706598	VEGFA_site2	5
chr22	43684478	43684501	VEGFA_site2	4
chr15	78857718	78857741	VEGFA_site2	5
chr19	36759127	36759150	VEGFA_site2	5
chr2	221535825	221535848	VEGFA_site2	6
chr3	49850170	49850193	VEGFA_site2	4
chr2	101437450	101437473	VEGFA_site2	6
chr14	90403304	90403327	VEGFA_site2	3
chr17	46103840	46103863	VEGFA_site2	5
chr1	1294255	1294278	VEGFA_site2	5
chr11	61321432	61321455	VEGFA_site2	3
chr9	37465347	37465370	VEGFA_site2	4
chr18	55101343	55101366	VEGFA_site2	4
chr20	35991126	35991149	VEGFA_site2	6
chr2	150391396	150391419	VEGFA_site2	6
chr7	44253549	44253572	VEGFA_site2	4
chr8	39839068	39839091	VEGFA_site2	3
chr11	32184478	32184501	VEGFA_site2	4
chr17	58404851	58404874	VEGFA_site2	5
chr3	38141258	38141281	VEGFA_site2	5
chr6	41543432	41543455	VEGFA_site2	5
chr6	43337319	43337342	VEGFA_site2	4
chr7	101150781	101150804	VEGFA_site2	4
chr8	122367946	122367969	VEGFA_site2	6
chr11	133777440	133777463	VEGFA_site2	5
chr12	3200959	3200982	VEGFA_site2	5
chr16	67289430	67289453	VEGFA_site2	6
chr1	23762244	23762267	VEGFA_site2	4
chr1	52217902	52217925	VEGFA_site2	5
chr2	43608521	43608544	VEGFA_site2	4
chr17	79881136	79881159	VEGFA_site2	4
chr6	36853818	36853841	VEGFA_site2	4
chr9	2666721	2666744	VEGFA_site2	5
chr9	100732568	100732591	VEGFA_site2	5
chr19	51915512	51915535	VEGFA_site2	5
chr7	130791558	130791581	VEGFA_site2	4
chr9	130663069	130663092	VEGFA_site2	4
chr12	133287131	133287154	VEGFA_site2	5
chr7	1478602	1478625	VEGFA_site2	5
chr8	37251177	37251200	VEGFA_site2	4
chr19	1028243	1028266	VEGFA_site2	5
chr19	18633476	18633499	VEGFA_site2	5
chr20	62575810	62575833	VEGFA_site2	6
chr21	46703215	46703238	VEGFA_site2	5
chr3	13187295	13187318	VEGFA_site2	5
chr6	31462820	31462843	VEGFA_site2	3
chr2	223731480	223731503	VEGFA_site2	5
chr11	65479762	65479785	VEGFA_site2	4
chr12	86681281	86681304	VEGFA_site2	4
chr12	132529349	132529372	VEGFA_site2	3
chr16	69166704	69166727	VEGFA_site2	6
chr12	57604315	57604338	VEGFA_site2	4
chr17	72656670	72656693	VEGFA_site2	4
chr8	137500395	137500418	VEGFA_site2	4
chr1	178738720	178738743	VEGFA_site2	4
chr3	55857478	55857501	VEGFA_site2	3
chr6	26470606	26470629	VEGFA_site2	3
chr6	110521017	110521040	VEGFA_site2	3
chr9	37990358	37990381	VEGFA_site2	5
chr17	7147463	7147486	VEGFA_site2	6
chr19	18131306	18131329	VEGFA_site2	5
chr19	45324564	45324587	VEGFA_site2	5
chr2	85515486	85515509	VEGFA_site2	5
chr5	122565809	122565832	VEGFA_site2	5
chr9	33202607	33202630	VEGFA_site2	4
chr9	100931285	100931308	VEGFA_site2	5
chr12	123893655	123893678	VEGFA_site2	5
chr19	1494313	1494336	VEGFA_site2	6
chr22	23260187	23260210	VEGFA_site2	3
chr3	65075641	65075664	VEGFA_site2	4
chr13	114795496	114795519	VEGFA_site2	5
